name,language,stars,forks,created_at
freeCodeCamp,TypeScript,393336,36168,2014-12-24T17:49:19Z
free-programming-books,,327715,60660,2013-10-11T06:50:37Z
awesome,,310386,27033,2014-07-11T13:42:37Z
public-apis,Python,300921,32495,2016-03-20T23:49:42Z
coding-interview-university,,298436,75080,2016-06-06T02:34:12Z
build-your-own-x,,283949,26647,2018-05-09T12:03:18Z
developer-roadmap,TypeScript,282227,37606,2017-03-15T13:45:52Z
996.ICU,,269451,21235,2019-03-26T07:31:14Z
system-design-primer,Python,263745,44724,2017-02-26T16:15:28Z
react,JavaScript,225138,45908,2013-05-24T16:15:54Z
awesome-python,Python,212107,24641,2014-06-27T21:00:06Z
vue,TypeScript,207405,33645,2013-07-29T03:24:51Z
awesome-selfhosted,,186725,9220,2015-06-01T02:33:17Z
javascript-algorithms,JavaScript,185206,29884,2018-03-24T07:47:04Z
tensorflow,C++,183999,74055,2015-11-07T01:19:20Z
Python,Python,182078,44003,2016-07-16T09:44:01Z
project-based-learning,,181580,23852,2017-04-12T05:07:46Z
You-Dont-Know-JS,,177950,33417,2013-11-16T02:37:24Z
linux,C,174482,52530,2011-09-04T22:48:12Z
CS-Notes,,173622,50779,2018-02-13T14:56:24Z
ohmyzsh,Shell,170777,25729,2009-08-28T18:15:37Z
bootstrap,JavaScript,168069,78552,2011-07-29T21:19:00Z
computer-science,,165750,20958,2014-05-04T00:18:39Z
AutoGPT,Python,163786,43520,2023-03-16T09:21:07Z
flutter,Dart,163201,26860,2015-03-06T22:54:58Z
vscode,TypeScript,160578,28137,2015-09-03T20:23:38Z
gitignore,,159584,83222,2010-11-08T20:17:14Z
Python-100-Days,Python,152782,51710,2018-03-01T16:05:52Z
the-art-of-command-line,,150864,14419,2015-05-20T15:11:03Z
JavaGuide,Java,144774,45414,2018-05-07T13:27:00Z
javascript,JavaScript,143135,26313,2012-11-01T23:13:50Z
the-book-of-secret-knowledge,,137015,9186,2018-06-23T10:43:14Z
stable-diffusion-webui,Python,135722,25904,2022-08-22T14:05:26Z
youtube-dl,Python,129891,9800,2010-10-31T14:35:07Z
transformers,Python,128859,25565,2018-10-29T13:56:00Z
awesome-go,Go,124959,11710,2014-07-06T13:42:15Z
fucking-algorithm,Markdown,124268,23129,2020-02-19T09:01:23Z
next.js,JavaScript,123040,26285,2016-10-05T23:32:51Z
go,Go,121228,17368,2014-08-19T04:33:40Z
30-seconds-of-code,JavaScript,120338,11931,2017-11-29T17:35:03Z
react-native,C++,117137,24081,2015-01-09T18:10:16Z
tech-interview-handbook,TypeScript,114009,14320,2016-07-05T05:00:48Z
electron,C++,112857,15133,2013-04-12T01:47:36Z
free-programming-books-zh_CN,,110240,28128,2013-11-04T01:59:19Z
kubernetes,Go,108411,38892,2014-06-06T22:56:04Z
d3,Shell,108115,22889,2010-09-27T17:22:42Z
PowerToys,C#,107097,6319,2019-05-01T17:44:02Z
awesome-chatgpt-prompts,HTML,107023,14635,2022-12-05T13:54:13Z
scrcpy,C,105582,10244,2017-11-21T18:00:27Z
node,JavaScript,105271,28517,2014-11-26T19:57:11Z
axios,JavaScript,104622,10768,2014-08-18T22:30:27Z
create-react-app,JavaScript,102229,26686,2016-07-17T14:55:11Z
three.js,JavaScript,100487,35210,2010-03-23T18:58:01Z
TypeScript,TypeScript,99147,12298,2014-06-17T15:28:39Z
nodebestpractices,Dockerfile,97263,9884,2017-09-15T08:33:19Z
angular,TypeScript,95213,24987,2014-09-18T16:12:01Z
rust,Rust,94933,12239,2010-06-16T20:39:03Z
GitHub-Chinese-Top-Charts,Java,94682,12610,2019-09-05T03:01:56Z
terminal,C++,94254,8158,2017-08-11T18:38:22Z
deno,Rust,93412,5181,2018-05-15T01:34:26Z
material-ui,TypeScript,92467,31858,2014-08-18T19:11:54Z
ant-design,TypeScript,91117,47590,2015-04-24T15:37:24Z
clean-code-javascript,JavaScript,90671,12163,2016-11-25T22:25:41Z
langchain,Python,88870,13982,2022-10-17T02:58:36Z
java-design-patterns,Java,88357,26212,2014-08-09T16:45:18Z
HelloGitHub,Python,87737,9480,2016-05-04T06:24:11Z
puppeteer,TypeScript,87642,9031,2017-05-09T22:16:13Z
vue-element-admin,Vue,87082,30391,2017-04-17T03:35:49Z
godot,C++,86630,19315,2014-01-04T16:05:36Z
Microsoft-Activation-Scripts,Batchfile,86221,8407,2020-01-12T23:03:34Z
free-for-dev,HTML,85650,9308,2015-03-18T21:06:26Z
papers-we-love,Shell,85236,5672,2013-12-15T14:31:41Z
thefuck,Python,83641,3409,2015-04-08T15:08:04Z
storybook,TypeScript,83434,9125,2016-03-18T04:23:44Z
Web-Dev-For-Beginners,JavaScript,82221,12253,2020-11-10T02:44:00Z
frp,Go,82198,12909,2015-12-21T15:24:59Z
iptv,JavaScript,81204,2076,2018-11-14T22:00:57Z
tailwindcss,TypeScript,80441,4044,2017-10-06T14:59:14Z
pytorch,Python,80263,21558,2016-08-13T05:26:41Z
animate.css,CSS,80135,16242,2011-10-12T10:07:38Z
Awesome-Hacking,,80089,8782,2016-03-30T15:47:10Z
hello-algo,Java,80023,10188,2022-11-04T11:08:34Z
neovim,Vim Script,79979,5497,2014-01-31T13:39:22Z
realworld,TypeScript,79796,7267,2016-02-26T20:49:53Z
tauri,Rust,79709,2367,2019-07-13T09:09:37Z
django,Python,77938,31226,2012-04-28T02:47:18Z
every-programmer-should-know,,77779,7408,2017-08-24T13:18:26Z
ollama,Go,77727,5875,2023-06-26T19:39:32Z
svelte,JavaScript,77520,4044,2016-11-20T18:13:05Z
laravel,PHP,77519,23929,2011-06-08T03:06:08Z
nvm,Shell,77274,7763,2010-04-15T17:47:47Z
bitcoin,C++,77145,35619,2010-12-19T15:16:43Z
excalidraw,TypeScript,77087,7041,2020-01-02T01:04:43Z
opencv,C++,76889,55663,2012-07-19T09:40:17Z
gin,Go,76810,7917,2014-06-16T23:57:25Z
models,Python,76795,45837,2016-02-05T01:15:20Z
mall,Java,76514,28531,2018-04-04T01:11:44Z
yt-dlp,Python,76511,6018,2020-10-26T04:22:55Z
app-ideas,,76309,9239,2019-02-25T18:36:56Z
FiraCode,Clojure,76100,3074,2014-11-11T19:32:38Z
